# Updated at 2025-04-02T04:55:55.771803
Title|Link|Discounted Price|Original Price|Discount
HORROR BISHOUJO Sadako 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-172892|18,810 JPY|19,800 JPY|5.0%
Azur Lane Shinano: Dreams of the Hazy Moon 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-165912|34,350 JPY|34,700 JPY|1.01%
[F:NEX x POPPRO] Hatsune Miku 2022 Chinese New Year Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-136152|27,566 JPY|39,380 JPY|30.0%
KDcolle STEINS;GATE 0 Kurisu Makise With LED Light-Up Feature 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-172368|27,200 JPY|32,450 JPY|16.18%
Date A Live Natsumi DX Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-168740|24,120 JPY|28,380 JPY|15.01%
Spy x Family Anya & Yor 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-147770|10,000 JPY|25,000 JPY|60.0%
DATE A LIVE IV Kurumi Tokisaki 1/7 Scale Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-175893|3,400 JPY|3,520 JPY|3.41%
[Bonus] Honkai Impact 3rd Elysia Herrscher of Human: Ego Because of You Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-162439|33,700 JPY|34,760 JPY|3.05%
Evangelion Rei Ayanami & Asuka Langley Shikinami Whisper of Flower Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-152803|35,420 JPY|50,600 JPY|30.0%
Fire Emblem Alear 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-165695|29,502 JPY|32,780 JPY|10.0%
[Bonus] Honkai: Star Rail Fu Xuan 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-165812|24,220 JPY|24,970 JPY|3.0%
Illustrator Original Shirayuki Ren Nurse Ver. by Minori Chigusa 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-177754|20,690 JPY|21,780 JPY|5.0%
TV Anime "NieR:Automata Ver1.1a" "2B (YoRHa No.2 Type B) -Exploration-" 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-172660|23,560 JPY|27,720 JPY|15.01%
Genshin Impact Fischl 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-163648|25,542 JPY|28,380 JPY|10.0%
